,Comment,Likes,Time,UserLink,user
137,"Aku baru nonton iklan ini, baguss wooii lucuu. Relate banget sama kebiasaan orang negara ini",7,1 month ago,/channel/UC5IEHMAdQNsZWOVSWnZwDGQ,Unite Joy
138,Keren bintang iklannya lord boril.,64,2 months ago,/channel/UC13Xd9VWgOLkElTJ-LhxDgQ,Rajalaya Al id
139,ANJIRR BORIELL BISA NGELAWAKKK,195,2 months ago,/channel/UCRx_7fSEuXAzLnzNmZsjDxw,Andrez Official26
140,Yo ngakak Yo sedih ......ya Ela ril boril 😀,21,2 months ago,/channel/UCEr9NOdqYuEhmmVKmr6K_bw,roblox mm2
141,"suaranya joss banget didenger pake headset, baru kali ini gw sengaja nge klik iklan haha",3,1 month ago,/channel/UCNDSzGi3RqxVgUjAeJyMI0Q,Novi Amelia
142,"Aduhhh kang Aril knp gokil bgt ,skarang para komedian benar² ter ancam posisinya ,karna para musisi skarang jago ngelawak 🤣🤣",5,2 months ago,/channel/UCHC9Ug2QUOmSO4JxPcxfZOA,Ilham Pujiansyah
143,"Kerem lah boril.
Ga setengah setengah kalo bikin sesuatu.
Biasanya iklan di skip, ini malah nonton Iklan.
LUAR BIASA",7,2 months ago,/channel/UCJMjZZ7vnPuQu2RXnby-i3w,todhi setiawan
144,gila suaranya good job gojek,4,2 months ago,/channel/UClK12iQh0f5yMIvYixlOp6A,Fazriatul Ummah
145,"Ha 😂😂😂😂😂😂😂😂  gue ngakak liat  lucu juga, keren juga",15,2 months ago,/channel/UCNhOkSU3H4xHY4DV_0mZJnw,Wilian cahyo Pratama
146,"Ahahahaha kocaaak ,, kereeen",19,2 months ago,/channel/UCSKslAgOv_eX6ne15RRqYyg,Neng TYS
147,Semoga saya bisa seperti boril 🤲,13,2 months ago,/channel/UC2GuXfW9Cs_RdZs7DZmZmwQ,revan 88
148,"kayanya nanti kalo iklan ini lewat pada ga skip deh hehehe

1. Apakah gergaji adalah gaji yang lebih ger ? 
2. Seneng ? Ck... No ah
3. Bedanya kalo gitar akustik, kalo akustuck
4. Kenapa gitar dipetik ? Padahal bukan buah. Hmmmm...
5. MISI PAKET... Akhirnya ! Dua kata indah itu terucap
6. Apakah ini real Ariel ?
7. Iri gak ? Iri lah masa nggak
8. 🎶Karena sepatuh aku, disini🎶

Ahahaha bikin senyum² dan ketawa sendiri liat ini 😂 Btw salfok sama nomer rumah nya No. 4H ❤️ totalitas banget deh aa ariel aktinya 👍😉",41,2 months ago (edited),/channel/UCBNDjPPyqQjExSRjThxFbqg,Ecawidi81
149,Cinematic sekali 😂,23,2 months ago,/channel/UCUQTOnWPpkrHVfyZmbK-mpg,ranai putra
